COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
477,3010043711,KBLR SFT BTCH OATMEA,18 OZ,12,1284750
477,3010043760,SOFT BATCH CHOC CHIP,18 OZ,12,9886910
477,3010043778,SOFT BATCH OATML RAI,18 OZ,12,9886920
477,3010044057,KEEBLER GRASSHOPPER,10 OZ,12,1284610
477,3010047217,RAINBOW CHIPS DLX HL,12 OZ,12,9885120
477,3010047274,KEEBLER RAINBOW CHIP,12 OZ,12,1284130
477,3010047290,KBLR RAINBOW CHIPS D,16 OZ,12,1284140
477,3010054189,KBLR HRVST WHT & CHD,9 OZ,12,1286360
477,3010055491,KEEBLER EL FUDGE BUT,10 OZ,12,1284650
477,3010055509,KEEBLER EL FUDGE DOU,10 OZ,12,1284690
477,3010055525,KEEBLER E.L. FUDGE C,10 OZ,12,1284550
477,3010055558,KEEBLER EL FUDGE VAN,10 OZ,12,1284670
477,3010055566,KEEB EL FUDGE SAND X,10 OZ,12,9812330
477,3010055632,E.L. FUDGE VANILLA,1.75 O,1,9840720
477,3010055640,E.L. FUDGE BUTTER FU,1.75 O,1,9840710
477,3010055657,E.L. FDG SNDWCH DBL,16 OZ,12,1284590
477,3010055681,E.L FUDGE SANDWICH-V,16 OZ,12,1284560
477,3010055699,E.L. FUDG SANDW. CK,16 OZ,12,1284570
477,3010055822,KEEBLER EL FUDGE SND,15 OZ,12,1284430
477,3010055855,EL FUDGE SANWICH FDG,15 OZ,12,1284440
477,3010055897,ELFUDGE SANDWICH CHO,15 OZ,12,1284410
477,3010067900,RIPPLINS-RANCH,6.5 OZ,12,1287180
478,3013301234,BISTEFANI PASTERFROL,9 0Z,12,1279660
478,3013301250,BISTEFANI OFELLE,8 OZ,12,1279640
478,3013301320,BISTEFANI LE ESSE,11.25,12,1279630
477,3153559210,KNOTT'S BOYSENBERRY,10,12,1269310
477,3153559310,KNOTT'S BRY FARM APR,10.0,12,1269300
479,3420000577,RIPON CC CREME SANDW,18 OZ,12,129120
479,3420000642,~RIPON FDG CRM WAFER,9 OZ,12,1291161
479,3420000723,RIPON STRIPED DAINTY,10 OZ,12,1291021
479,3420000724,RIPON FUDGE GRAHAM M,10 OZ,12,1291041
479,3420000725,RIPON FUDGE WAFER MI,10 OZ,12,1291061
479,3420000954,RIPON VAN CRM WAFERS,7 OZ,12,1291001
477,3420001012,GOLDEN BATCH WAFER S,5.5 OZ,72,9812510
478,3425813020,TWOOKIES PEANUT BUTT,EACH,288,1234770
478,3425813030,TWOOKIES CHOCO FUDGE,EACH,288,1234780
478,3425813040,TWOOKIES VANILLA CR,EACH,288,1234790
478,3425813060,TWOOKIES CHOCO CHIP,2.15 O,288,1234860
478,3425814220,TWOOKIE II PNUT BUTT,2.75 O,1,1234800
478,3425814330,TWOOKIE II CHOCOLATE,2.75 O,1,1234810
478,3425814440,TWOOKIE II VANILLA,2.75 O,1,1234820
478,3425814550,TWOOKIE II STWBRY YO,2.75 O,1,1234830
477,3433414340,THE SCOTTIE BAR,1 CT,192,9812221
478,3449270001,DESTROOPER BUTTER WA,6.1 OZ,12,1202500
478,3538310616,BALTIC ALMOND ROLL,16 OZ,1,1428
477,3538320308,KOLACKY,8 OZ,1,14240
478,3574215225,$HEALTH VALL FF CHOC,7 OZ,12,1252320
478,3574215230,HEALTH VALL FF CHC C,6.25 O,12,1252310
477,3574261002,HV FF FRT CHK BANANA,6.25OZ,12,1253560
477,3574261003,HV FF FRT CHK OAT/RA,6.25OZ,12,1253570
477,3574261034,HV FF MINI RSP/APL C,6.25OZ,12,1253550
477,3574261035,HV MINI APL/CIN COOK,6.25OZ,12,1253540
478,3680002598,W.C CHOC CHIP COOKIE,7 OZ,12,1201140
478,3680002599,W.C CHOC CHIP W/PECA,7 OZ,12,1201130
478,3680002600,W.C PEANUT BUTTER W/,7 OZ,12,1201120
478,3680002602,W.C. COOKIE FUDGE CR,10 OZ,12,1201110
478,3680002603,W.C. COOKIE LEMON CR,10 OZ,12,1201100
479,3680016530,~W.C.CHOC CHIP ALL B,12 OZ,12,1289661
479,3680016531,~W.C. CHC CHIP W/PCN,12 OZ,12,1289671
479,3680016532,~W.C.RAISIN OATML CK,12 OZ,12,1289681
479,3700048534,D H RTS C C LRG SIZE,16 OZ,12,121002
479,3700048536,DH RTS OATML RASIN C,11 OZ,12,121006
479,3700048594,DH RTS CHOC CHIP CKI,11 OZ,12,121003
479,3700048595,DH MLK CHOC CHIP COO,11 OZ,12,121004
477,3744910007,FROOKIE 7-GRAIN OATM,7 OZ,12,1259850
477,3744910060,FRKIE VANILLA POWER,9 OZ,12,9815580
477,3744910063,CINNAMON POWER GRAHA,9 OZ,12,9815590
,3744915011,,,,
477,3744915014,FROOKIE'S F.F. APPLE,6.25OZ,12,1259920
485,3744916002,FROOKIE FF CRK PEPPE,4 OZ,12,1288230
485,3744916003,FROOKIE FF HERB/GARL,4 OZ,12,1288240
485,3744916004,FROOKIE FF WHL WHT C,4 OZ,12,1288200
477,3744919100,$FROOKIE 50% LF CHOC,5.5 OZ,12,1259980
477,3744919120,$FROOKIE 50% LF LEMO,5.5 OZ,12,1259890
479,3828112177,~DOM NC-N-CHWY OATME,12 OZ,12,1289121
479,3828112181,~DOM NC-N-CHWY CHOC,12 OZ,12,1289081
479,3828112185,~DOM NC-N-CHWY CHOC,12 OZ,12,1289101
479,3828112261,DOM DUPLEX CREMES,2 LB,12,1289171
479,3828112263,DOM DUPLEX SAND CREM,16 OZ,12,1289521
479,3828112265,DOM ASST CREMES,2 LB,12,1289181
479,3828112267,DOM ASSTD SAND CREME,16 OZ,12,1289531
479,3828112269,DOM VANILLA CREMES,2 LB,12,1289191
479,3828112271,DOM VANILLA SAND CRE,16 OZ,12,1289511
479,3828112273,DOM OLD FASH CHOC CH,18 OZ,18,1289141
479,3828112277,DOM OLD FASH OATMEAL,18 OZ,18,1289211
479,3828112281,DOM ASST OLD FASH CO,18 OZ,18,1289221
479,3828112285,DOM VANILLA WAFERS,12 OZ,12,1289151
479,3828112289,DOM REAL CHOC CHIP C,18 OZ,12,1289161
479,3828112290,DOM REAL CHOC CHIP C,18 OZ,12,1289161
479,3828112329,DOM SUGAR WAFERS,9 OZ,12,1291231
479,3828112405,DOM CHOC SAND CREMES,16 OZ,12,1289501
479,3828112407,~DOM DELUXE CHOC SND,20 OZ,12,1289091
479,3828112409,DOM LEMON SAND CREME,16 OZ,12,1289541
479,3828112413,DOM PECAN-A-LICIOUS,19 OZ,12,1289131
